
2024/06/23 (19:06:01) | ===> btop++ v.1.3.2
2024/06/23 (19:06:01) | INFO: Logger set to INFO
2024/06/23 (19:06:02) | INFO: Logger set to DEBUG
2024/06/23 (19:06:02) | INFO: Logger set to INFO
2024/06/23 (19:06:03) | INFO: Logger set to DEBUG
2024/06/23 (19:06:05) | INFO: Logger set to INFO
2024/06/23 (19:11:26) | INFO: Quitting! Runtime: 00:05:41

2024/06/23 (19:19:11) | ===> btop++ v.1.3.2
2024/06/23 (19:19:11) | INFO: Logger set to INFO
2024/06/23 (19:19:11) | INFO: Running on /dev/pts/1
2024/06/23 (19:19:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/23 (19:19:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/23 (20:26:38) | INFO: Quitting! Runtime: 01:07:27

2024/06/23 (20:26:42) | ===> btop++ v.1.3.2
2024/06/23 (20:26:42) | INFO: Logger set to INFO
2024/06/23 (20:26:42) | INFO: Running on /dev/pts/1
2024/06/23 (20:26:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/23 (20:26:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/23 (20:28:31) | INFO: Quitting! Runtime: 00:01:49

2024/06/23 (20:28:34) | ===> btop++ v.1.3.2
2024/06/23 (20:28:34) | INFO: Logger set to INFO
2024/06/23 (20:28:34) | INFO: Running on /dev/pts/1
2024/06/23 (20:28:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/23 (20:28:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/23 (20:40:01) | INFO: Quitting! Runtime: 00:11:27

2024/06/23 (21:18:36) | ===> btop++ v.1.3.2
2024/06/23 (21:18:36) | INFO: Logger set to INFO
2024/06/23 (21:18:36) | INFO: Running on /dev/pts/1
2024/06/23 (21:18:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/23 (21:18:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/23 (21:18:42) | INFO: Quitting! Runtime: 00:00:06

2024/06/23 (21:49:49) | ===> btop++ v.1.3.2
2024/06/23 (21:49:49) | INFO: Logger set to INFO
2024/06/23 (21:49:49) | INFO: Running on /dev/pts/9
2024/06/23 (21:49:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/23 (21:49:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/24 (01:30:30) | INFO: Quitting! Runtime: 03:40:41

2024/06/25 (13:05:18) | ===> btop++ v.1.3.2
2024/06/25 (13:05:18) | INFO: Logger set to INFO
2024/06/25 (13:05:18) | INFO: Running on /dev/pts/0
2024/06/25 (13:05:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/25 (13:05:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/25 (13:05:23) | INFO: Quitting! Runtime: 00:00:05
